"","acidity","citric.acid","residual.sugar","chlorides","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"526",11.04,0.24,2.8,0.105,53,0.9998,3.24,0.67,9.9,5
"527",7.66,0.49,2.5,0.088,106,0.9966,3.36,0.78,11,5
"528",7.38,0.49,2.5,0.097,85,0.9962,3.39,0.77,11.4,6
"529",8.62,0.49,2.6,0.084,55,0.9988,3.34,0.75,8.7,6
"530",10.53,0.24,2.4,0.077,33,0.9974,3.09,0.57,9.4,5
"531",9.32,0.24,2.1,0.078,28,0.999,3.41,0.87,10.3,6
"532",12.28,0.49,2.7,0.098,42,1.0004,3.16,0.61,10.3,5
"533",12.28,0.49,2.7,0.098,42,1.0004,3.16,0.61,10.3,5
"534",10.57,0.24,2.1,0.072,33,0.9956,3.22,0.66,12.8,6
"535",10.48,0.24,2.7,0.102,32,1,3.28,0.56,10,6
"536",9.32,0.24,2.1,0.078,28,0.999,3.41,0.87,10.3,6
"537",10.53,0.24,2.4,0.077,33,0.9974,3.09,0.57,9.4,5
"538",8.92,0.24,2.1,0.084,13,0.9972,3.37,0.77,10.7,6
"541",9.79,0.24,3.3,0.101,47,0.9988,3.26,0.67,9.6,5
"543",10.02,0.24,2.1,0.07,20,0.9966,3.12,0.59,9.9,5
"544",11.86,0.24,2.5,0.085,53,0.9993,3.06,0.72,11,6
"546",9.57,0.49,2.6,0.094,106,0.9982,3.08,0.59,9.1,5
"547",8.05,0.24,2,0.078,28,0.9983,3.45,0.78,9.5,6
"548",10.91,0.49,2.5,0.067,21,0.9987,3.26,0.86,10.7,6
"549",12.75,0.49,2.6,0.079,69,0.9994,3.12,0.75,10.4,6
"551",7.31,0.01,2.1,0.074,25,0.9958,3.33,0.56,9.5,6
"552",9.83,0.24,2.8,0.092,45,0.998,3.19,0.73,10,6
"553",9.96,0.24,2.7,0.092,44,0.998,3.12,0.74,10,6
"563",9.54,0.49,2.9,0.094,110,0.9982,3.08,0.61,9.2,5
"564",7.89,0.49,2.7,0.092,60,0.9971,3.31,0.61,10.1,6
"570",6.56,0.24,2.2,0.095,42,0.9946,3.57,0.57,11.7,6
"571",11.85,0.49,3.3,0.07,37,1.0003,3.32,0.91,11,6
"572",6.56,0.24,2.2,0.095,42,0.9946,3.57,0.57,11.7,6
"573",10.44,0.49,2.4,0.075,28,0.9978,3.14,0.61,10.4,5
"574",11.09,0.49,2.1,0.07,47,0.9991,3.3,0.56,9.6,4
"575",10.94,0.49,3.2,0.078,78,0.9992,3.19,0.7,10,6
"576",12.57,0.49,3.1,0.079,46,0.9993,3.2,0.8,10.2,6
"577",10.4,0.24,2.3,0.103,14,0.9978,3.34,0.52,10,4
"578",9.24,0.49,2.8,0.083,111,0.9982,3.3,0.6,9.5,5
"579",9.27,0.49,2.9,0.085,110,0.9982,3.29,0.6,9.8,5
"580",10.91,0.49,2.2,0.063,40,0.9976,3.14,0.51,9.8,6
"581",12.8,0.49,2.2,0.089,14,1.0002,3.19,0.44,9.6,5
"582",12.8,0.49,2.2,0.089,14,1.0002,3.19,0.44,9.6,5
"583",12.19,0.49,2.2,0.083,15,1,3.19,0.43,9.2,5
"584",12.28,0.49,1.9,0.074,21,0.9976,2.98,0.66,9.9,7
"585",12.13,0.49,3.4,0.093,80,1.0002,3.3,0.76,10.7,7
"586",8.11,0.24,2.4,0.091,38,0.998,3.47,0.66,9.6,6
"588",8.03,0.24,1.9,0.108,102,0.9967,3.26,0.59,9.3,5
"590",10.49,0.49,2.6,0.059,13,0.9976,3.05,0.74,10.5,7
"591",9.45,0.49,2.6,0.084,75,0.9987,3.35,0.57,9.7,5
"593",9.45,0.49,2.6,0.084,75,0.9987,3.35,0.57,9.7,5
"594",10.39,0.58,3.5,0.094,43,1.0004,3.29,0.58,9,5
"595",8.62,0.17,2.6,0.096,38,0.9978,3.4,0.53,9.5,5
"597",12.8,0.51,2,0.059,24,0.9994,3.04,0.6,9.3,6
"598",12.48,0.58,1.9,0.071,18,0.998,3.09,0.63,10,6
"599",9.09,0.18,2.1,0.078,30,0.9967,3.2,0.48,9.8,6
"601",9.11,0.27,2.1,0.088,23,0.9962,3.26,0.47,10,4
"603",8.54,0,2.6,0.081,14,0.9975,3.3,0.52,9.3,5
"605",8.88,0.13,2.9,0.096,63,0.9984,3.17,0.62,9.1,6
"606",8.9,0.13,2.6,0.085,24,0.9984,3.31,0.59,9.2,6
"608",9.28,0.41,3.3,0.092,52,0.9982,3.31,0.53,10.5,6
"610",6.66,0.19,3.2,0.075,39,0.9956,3.56,0.52,12.7,6
"611",9.04,0.54,2.5,0.083,57,0.9983,3.39,0.54,9.2,5
"613",8.14,0,2.4,0.077,29,0.9965,3.32,0.6,10,6
"614",8.59,0.38,1.5,0.058,29,0.9962,3.26,0.74,9.8,5
"616",10.2,0.5,2.3,0.079,71,0.9997,3.5,0.57,9.7,5
"617",10.2,0.5,2.3,0.079,71,0.9997,3.5,0.57,9.7,5
"618",11.81,0.51,2.2,0.079,28,0.9982,3.03,0.93,9.8,6
"620",11.67,0.41,2.3,0.088,16,0.9988,3.09,0.8,9.3,5
"621",8.84,0.24,3.4,0.076,112,0.9976,3.27,0.61,9.4,5
"622",8.76,0.23,3.4,0.078,104,0.9976,3.28,0.62,9.4,5
"623",10.58,0.22,1.9,0.08,32,0.9974,3.13,0.55,9.5,5
"627",9.4,0.29,2.2,0.098,15,0.9988,3.36,0.49,9.1,5
"628",9.4,0.29,2.2,0.098,15,0.9988,3.36,0.49,9.1,5
"629",9.24,0.26,2.5,0.097,31,0.9976,3.27,0.6,9.3,6
"630",8.29,0.23,2.3,0.111,84,0.9964,3.21,0.61,9.3,5
"631",9.24,0.26,2.5,0.097,31,0.9976,3.27,0.6,9.3,6
"632",10.68,0.54,2.7,0.105,19,0.9988,3.25,0.63,9.5,5
"633",8.01,0.14,3,0.087,43,0.9964,3.32,0.57,10.5,6
"635",8.25,0.21,1.9,0.073,102,0.9964,3.27,0.58,9.5,5
"636",9.54,0,1.4,0.065,33,0.9954,3.27,0.55,9.7,5
"641",10.44,0.45,2.3,0.071,40,0.9991,3.39,0.62,9.4,5
"642",10.09,0.44,2.3,0.071,68,0.9992,3.46,0.63,9.5,5
"643",10.44,0.45,2.3,0.071,40,0.9991,3.39,0.62,9.4,5
"644",10.09,0.44,2.3,0.071,68,0.9992,3.46,0.63,9.5,5
"645",10.44,0.45,2.3,0.071,40,0.9991,3.39,0.62,9.4,5
"647",7.97,0.05,3.6,0.107,20,0.9972,3.4,0.63,10.1,5
"648",9.15,0.01,2.2,0.07,14,0.9967,3.32,0.58,11,4
"649",9.18,0.3,2.8,0.066,28,0.9964,3.33,0.67,11.2,7
"654",9.73,0.59,2.8,0.079,30,0.9976,3.12,0.54,12,6
"655",9.07,0.47,2.4,0.074,29,0.9979,3.08,0.46,9.5,5
"656",10.25,0.17,2.9,0.087,53,1.0004,3.14,0.61,9.4,5
"659",7.72,0.07,1.4,0.074,20,0.9973,3.32,0.81,9.6,6
"661",7.72,0.07,1.4,0.074,20,0.9973,3.32,0.81,9.6,6
"662",7.92,0.31,1.6,0.08,42,0.9978,3.31,0.64,9,5
"663",7.77,0.06,1.6,0.076,27,0.9972,3.36,0.7,9.6,6
"664",10.38,0.46,1.8,0.05,13,0.9974,3.04,0.79,10.2,6
"665",12.5,0.52,2,0.092,54,1,3.03,0.66,10.2,5
"666",9.99,0.14,2,0.084,48,0.9981,3.14,0.56,9.7,5
"669",10.73,0.43,2.3,0.059,31,0.9966,3.15,0.57,11,5
"671",7.3,0.24,2.5,0.083,45,0.9959,3.26,0.58,10,5
"672",8.93,0.21,1.7,0.074,13,0.9968,3.2,0.52,9.5,5
"674",8.93,0.21,1.7,0.074,13,0.9968,3.2,0.52,9.5,5
"675",11.2,0.41,2.2,0.084,17,0.9984,3.08,0.67,9.3,6
"676",9.71,0.39,2.2,0.064,31,0.9984,3.26,0.65,10.2,5
"677",11.2,0.41,2.2,0.084,17,0.9984,3.08,0.67,9.3,6
"678",9.4,0.11,2.3,0.084,31,0.9979,3.4,0.48,9.9,5
"679",9.08,0.1,2.6,0.081,87,0.9983,3.48,0.53,10,5
"680",11.06,0.45,3.3,0.06,49,0.9972,3.13,0.54,9.6,5
"682",8.45,0.23,2.2,0.094,29,0.9962,3.21,0.49,10.2,6
"683",8.96,0.31,2.25,0.078,58,0.998,3.33,0.54,9.8,5
"684",8.88,0.23,2.6,0.059,15,0.997,3.37,0.56,11.3,5
"686",8.88,0.23,2.6,0.059,15,0.997,3.37,0.56,11.3,5
"687",7.75,0.18,1.8,0.07,40,0.997,3.44,0.6,9.1,5
"688",9.74,0.23,3.1,0.095,38,0.9998,3.28,0.59,9.7,5
"692",10.12,0.24,2.6,0.087,93,0.9998,3.48,0.54,9.8,5
"697",7.65,0.02,2.1,0.066,25,0.9972,3.47,0.67,9.5,6
"698",7.65,0.02,2.1,0.066,25,0.9972,3.47,0.67,9.5,6
"699",10.02,0.28,3.2,0.087,72,1.0001,3.31,0.53,9.7,5
"700",12.18,0.55,2.1,0.071,19,0.9986,3.11,0.62,10.8,6
"701",11.62,0.43,2.9,0.076,88,0.9984,3.08,0.57,10.1,6
"702",7.65,0.02,2.1,0.066,25,0.9972,3.47,0.67,9.5,6
"703",7.64,0.02,2.1,0.067,23,0.997,3.47,0.67,9.4,6
"704",7.88,0.48,2.6,0.073,84,0.9972,3.32,0.7,9.6,4
"705",9.87,0.04,1.6,0.078,14,0.998,3.29,0.54,9.7,4
"707",7.78,0.08,2,0.093,19,0.9956,3.4,0.47,10,5
"708",7.89,0.19,3,0.077,37,0.9966,3.37,0.51,10.5,5
"709",8.35,0.12,2.5,0.068,35,0.996,3.34,0.61,11.6,6
"710",10.01,0.47,1.6,0.062,33,0.9983,3.27,0.66,10,6
"711",11.62,0.43,2.8,0.08,84,0.9985,3.06,0.57,10.1,5
"712",9.46,0.34,3,0.093,112,0.9998,3.38,0.61,9.5,5
"713",9.39,0,3.2,0.084,33,0.9992,3.36,0.45,9.4,5
"714",8.43,0.36,2.3,0.075,48,0.9976,3.34,0.46,9.4,5
"715",10.64,0.28,2.6,0.078,77,0.998,3.28,0.51,9.8,5
"716",7.69,0.18,2.7,0.069,34,0.9967,3.29,0.48,9.2,6
"717",8.43,0.36,2.3,0.075,48,0.9976,3.34,0.46,9.4,5
"718",8.06,0.11,2.6,0.079,49,0.9968,3.21,0.57,10,5
"719",8.96,0.04,2,0.082,22,0.9976,3.22,0.44,9.6,5
"721",8.96,0.04,2,0.082,22,0.9976,3.22,0.44,9.6,5
"722",9.38,0.24,2.85,0.094,106,0.9982,3.1,0.53,9.2,5
"723",8.02,0.08,2.7,0.084,48,0.9968,3.21,0.59,10,5
"725",8.62,0.1,3.1,0.086,12,0.9958,3.54,0.6,11.2,4
"726",9.66,0.17,3,0.077,13,0.9976,3.29,0.55,10.4,5
"727",8.82,0.09,2.8,0.084,49,0.9994,3.43,0.72,11.1,6
"728",6.97,0.02,1.8,0.067,11,0.997,3.46,0.68,9.5,5
"729",6.97,0.02,1.8,0.067,11,0.997,3.46,0.68,9.5,5
"730",7.27,0.03,3.2,0.071,58,0.995,3.61,0.49,12.7,6
"732",9.78,0.13,3.45,0.088,14,0.9994,3.44,0.52,11.5,5
"733",8.13,0.03,2.1,0.092,19,0.9966,3.39,0.47,9.6,5
"734",7.45,0.34,2.7,0.082,72,0.998,3.55,0.6,9.5,5
"735",8.26,0.2,2,0.075,39,0.9987,3.48,0.62,9.3,5
"736",8.67,0.1,2.1,0.112,22,0.9963,3.26,0.5,9.5,5
"737",8.67,0.1,2.1,0.112,22,0.9963,3.26,0.5,9.5,5
"738",8.79,0,2.5,0.093,58,1.0002,3.5,0.65,9.3,6
"739",9.46,0.23,2.8,0.092,104,0.9983,3.1,0.56,9.2,5
"740",9.69,0,2.4,0.088,38,0.999,3.35,0.6,9.3,5
"743",7.12,0,1.9,0.065,18,0.9972,3.46,0.65,9.2,5
"744",12.01,0.58,2.8,0.096,101,1.0002,3.13,0.53,10,5
"745",11.49,0.54,2.7,0.095,101,1.0001,3.13,0.51,9.5,5
"746",7.81,0.18,2.1,0.07,28,0.9977,3.52,0.73,9.5,6
"747",8.54,0.38,2.5,0.08,57,0.9978,3.3,0.47,9,6
"748",8.93,0.4,2.6,0.083,68,0.9978,3.3,0.48,9.4,5
"749",7.7,0.18,2.1,0.071,31,0.9976,3.52,0.72,9.6,6
"750",7.81,0.18,2.1,0.07,28,0.9977,3.52,0.73,9.5,6
"751",8.95,0.1,2.9,0.089,40,0.998,3.29,0.55,9.5,5
"752",8.95,0.1,2.9,0.089,40,0.998,3.29,0.55,9.5,5
"753",8.14,0.13,2.5,0.097,66,0.9978,3.39,0.61,9.4,5
"754",8.95,0.1,2.9,0.089,40,0.998,3.29,0.55,9.5,5
"756",8.71,0.07,1.9,0.058,47,0.9952,3.51,0.43,10.7,6
"757",7.28,0.01,2,0.057,33,0.9949,3.6,0.46,11.2,6
"758",8.97,0,2.2,0.084,31,0.9966,3.25,0.5,9.8,5
"759",8.97,0,2.2,0.084,31,0.9966,3.25,0.5,9.8,5
"760",9.22,0.21,2.5,0.092,88,0.9982,3.19,0.52,9.2,5
"761",9.58,0.25,2.8,0.075,104,0.9978,3.23,0.57,9.7,5
"762",9.96,0.26,2,0.096,35,0.9974,3.25,0.42,9.6,5
"763",9.5,0,1.7,0.069,19,0.997,3.31,0.53,10,6
"764",9.96,0.26,2,0.096,35,0.9974,3.25,0.42,9.6,5
"765",9.78,0.11,2.8,0.093,44,0.9989,3.31,0.55,9.5,6
"766",9.87,0.1,3,0.091,48,0.9989,3.31,0.54,9.5,6
"767",9.39,0.18,2.9,0.089,74,0.9974,3.14,0.54,9.4,5
"768",8.1,0.32,2.7,0.103,98,0.9994,3.45,0.62,9.5,5
"769",7.69,0.02,2.3,0.082,94,0.9974,3.55,0.53,9.7,6
"770",8.62,0.01,1.9,0.076,32,0.9967,3.39,0.54,9.6,5
"771",7.69,0.02,2.3,0.082,94,0.9974,3.55,0.53,9.7,6
"776",8.2,0,3,0.102,16,0.9959,3.43,0.46,10,5
"779",8.73,0.3,3.4,0.079,34,0.9979,3.36,0.61,10.5,5
"780",7.62,0.03,2.6,0.076,92,0.9974,3.5,0.6,9.8,5
"782",6.96,0.14,2.4,0.114,37,0.9973,3.66,0.65,9.8,5
"783",9.82,0.05,2.4,0.081,96,0.9981,3.36,0.53,10,5
"784",6.96,0.14,2.4,0.114,37,0.9973,3.66,0.65,9.8,5
"785",7.69,0.01,2.5,0.077,85,0.9975,3.55,0.59,9.8,5
"786",10.25,0.41,2.3,0.083,61,0.9982,3.21,0.5,9.5,5
"787",10.25,0.41,2.3,0.083,61,0.9982,3.21,0.5,9.5,5
"788",10.56,0.24,2.2,0.079,58,0.9991,3.18,0.56,10.1,6
"789",10.56,0.24,2.2,0.079,58,0.9991,3.18,0.56,10.1,6
"791",7.77,0.43,2.6,0.082,82,0.9971,3.33,0.68,9.7,6
"793",7.71,0.02,2.5,0.081,87,0.9974,3.48,0.6,9.7,6
"794",8.3,0,2.6,0.055,13,0.9964,3.38,0.56,10.8,5
"795",10.37,0.54,2.3,0.065,26,0.9953,3.17,0.53,12.5,6
"799",9.9,0.34,3.6,0.082,14,0.9987,3.29,0.52,10.7,6
"800",9.9,0.34,3.6,0.082,14,0.9987,3.29,0.52,10.7,6
"802",9.15,0.09,3.3,0.068,17,0.9974,3.23,0.44,10,5
"803",5.68,0,1.7,0.044,86,0.9926,3.56,0.94,12.9,7
"804",8.26,0.08,2.5,0.114,46,0.9971,3.24,0.66,9.6,6
"805",8.92,0.22,2.7,0.084,18,0.9968,3.26,0.57,9.9,6
"806",8.48,0.4,2.4,0.052,10,0.9936,3.33,0.7,12.8,7
"808",8.48,0.4,2.4,0.052,10,0.9936,3.33,0.7,12.8,7
"810",8.08,0.31,2.8,0.07,15,0.9969,3.22,0.55,10.3,6
"811",7.79,0.1,2.6,0.068,14,0.9956,3.3,0.47,10.5,5
"813",11.25,0.33,2.5,0.099,38,0.9982,3.24,0.71,10.8,5
"814",7.29,0.24,2.1,0.102,7,0.9946,3.44,0.58,11.4,4
"816",11.25,0.33,2.5,0.099,38,0.9982,3.24,0.71,10.8,5
"817",10.31,0.19,3.2,0.081,30,0.9984,3.23,0.58,10.5,6
"818",11.09,0.42,1.6,0.084,27,0.9954,3.28,0.73,11.9,6
"819",7.81,0,2.35,0.071,47,0.9963,3.29,0.45,9.4,5
"820",9.76,0.15,3.2,0.097,59,0.9998,3.28,0.54,9.6,5
"821",7.69,0,1.9,0.099,22,0.9961,3.34,0.6,9.7,5
"823",7.24,0.13,2,0.076,36,0.9973,3.61,0.64,9.8,5
"824",7.24,0.13,2,0.076,36,0.9973,3.61,0.64,9.8,5
"825",7.58,0.28,2.8,0.068,16,0.9968,3.24,0.53,10.3,5
"826",7.56,0.14,2.8,0.076,37,0.9962,3.36,0.49,10.7,5
"827",7.77,0.34,2.3,0.05,8,0.9951,3.4,0.64,11,7
"828",7.56,0.14,2.8,0.076,37,0.9962,3.36,0.49,10.7,5
"829",8.37,0.09,2.3,0.065,45,0.9942,3.46,0.74,12.7,8
"830",6.51,0.08,2.1,0.071,24,0.9938,3.56,0.77,11.1,6
"831",8.19,0.07,2.5,0.058,9,0.9963,3.38,0.55,10.9,4
"832",6.51,0.08,2.1,0.071,24,0.9938,3.56,0.77,11.1,6
"835",9.49,0.26,1.6,0.088,23,0.9969,3.32,0.47,9.4,5
"836",8.27,0.1,1.5,0.066,55,0.9966,3.39,0.51,9.3,5
"839",10.41,0.35,1.6,0.075,28,0.9967,3.24,0.83,11.2,7
"840",6.5,0.04,2.2,0.092,26,0.9965,3.46,0.47,10,5
"841",11.52,0.47,2.65,0.085,34,0.9974,3.24,0.77,12.1,7
"842",7.26,0,3,0.115,31,0.9963,3.45,0.63,10.3,5
"844",7.79,0.35,2,0.088,92,0.9963,3.28,0.62,9.4,5
"845",10.15,0.46,1.7,0.062,42,0.9959,3.18,0.83,10.6,6
"846",7.04,0.21,1.8,0.081,31,0.9969,3.59,0.66,9.8,5
"847",7.04,0.21,1.8,0.081,31,0.9969,3.59,0.66,9.8,5
"848",8.08,0.16,1.8,0.078,39,0.9977,3.5,0.7,9.9,6
"849",7.04,0.21,1.8,0.081,31,0.9969,3.59,0.66,9.8,5
"850",7.03,0.21,1.6,0.08,32,0.9969,3.58,0.66,9.8,5
"851",9.73,0.44,1.9,0.085,22,0.9971,3.28,0.55,9.5,5
"852",9.73,0.44,1.9,0.085,22,0.9971,3.28,0.55,9.5,5
"854",9.66,0.39,1.5,0.08,55,0.9965,3.47,0.73,10.9,6
"855",9.66,0.39,1.5,0.08,55,0.9965,3.47,0.73,10.9,6
"856",8.33,0.02,2.5,0.071,14,0.9954,3.51,0.71,11.7,7
"857",9.66,0.39,1.5,0.08,55,0.9965,3.47,0.73,10.9,6
"858",8.46,0.34,2.5,0.073,47,0.9959,3.4,0.78,11.3,7
"859",11.98,0.47,1.7,0.054,32,0.9969,3.15,0.67,10.6,7
"860",7.36,0.22,1.8,0.074,24,0.9944,3.4,0.82,11.2,6
"861",7.82,0.06,2.7,0.077,85,0.9975,3.51,0.54,9.5,5
"863",7.92,0.32,2.7,0.067,25,0.9963,3.24,0.44,10.4,5
"864",7.82,0.06,2.5,0.078,84,0.9975,3.51,0.53,9.7,5
"865",7.82,0.06,2.7,0.077,85,0.9975,3.51,0.54,9.5,5
"866",7.84,0.07,2.6,0.077,86,0.9975,3.51,0.54,9.7,5
"867",7.29,0.22,2.3,0.071,24,0.9944,3.41,0.83,11.3,6
"868",7.41,0.23,2,0.072,22,0.9944,3.4,0.84,11.2,6
"869",7.36,0.22,1.8,0.074,24,0.9944,3.4,0.82,11.2,6
"870",8.23,0.03,2,0.08,43,0.9958,3.44,0.64,10.9,6
"871",8.42,0.01,2.1,0.064,43,0.9937,3.41,0.57,11.8,6
"872",7.46,0.03,1.5,0.086,46,0.9952,3.53,0.57,10.6,5
"873",7.65,0.24,2,0.067,48,0.9958,3.43,0.54,10,4
"874",9.31,0.37,1.6,0.067,10,0.9955,3.23,0.58,11.1,7
"875",10.78,0.46,2.1,0.104,10,0.9966,3.12,0.65,11.8,7
"876",9.11,0.4,2.8,0.109,16,0.9961,3.31,0.79,11.8,7
"877",7.57,0,2.2,0.067,14,0.9952,3.4,0.58,10.9,4
"878",8.42,0.01,2.1,0.064,43,0.9937,3.41,0.57,11.8,6
"880",7.8,0.04,2.5,0.076,88,0.9974,3.53,0.55,9.5,5
"881",9.76,0.18,1.6,0.078,21,0.9958,3.15,0.49,9.9,5
"882",8.31,0,2.1,0.068,35,0.9953,3.48,0.65,11.4,6
"884",7.8,0.04,2.5,0.076,88,0.9974,3.53,0.55,9.5,5
"886",9.65,0.14,2.5,0.086,30,0.9982,3.34,0.64,10.5,5
"887",9.8,0.12,2.4,0.083,28,0.9984,3.33,0.65,10.4,6
"888",11.22,0.38,2.6,0.066,56,0.9958,3.15,0.79,12.1,7
"889",7.37,0,2.5,0.072,64,0.9949,3.43,0.56,11.2,6
"891",7.54,0.24,2,0.071,52,0.9958,3.44,0.58,10.1,5
"892",7.86,0.03,2.3,0.078,86,0.9974,3.53,0.57,9.7,5
"893",10.55,0.23,1.9,0.082,18,0.9977,3.22,0.65,9.3,6
"894",7.86,0.03,2.3,0.078,86,0.9974,3.53,0.57,9.7,5
"895",7.83,0.03,2.2,0.08,88,0.9974,3.53,0.58,9.8,6
"896",7.69,0.01,2.3,0.08,43,0.9955,3.42,0.58,10.7,6
"897",8.61,0.39,2.4,0.078,43,0.9944,3.31,0.77,12.5,7
"898",7.69,0.01,2.3,0.08,43,0.9955,3.42,0.58,10.7,6
"899",8.61,0.39,2.4,0.078,43,0.9944,3.31,0.77,12.5,7
"900",9.32,0.02,3.4,0.084,11,0.9989,3.48,0.49,11,3
"901",9.21,0.36,2.6,0.056,39,0.9956,3.4,0.69,11.8,5
"902",8.04,0.1,2.4,0.08,33,0.9974,3.58,0.69,10.8,7
"903",8.04,0.1,2.4,0.08,33,0.9974,3.58,0.69,10.8,7
"906",9.78,0.2,3,0.081,115,0.998,3.23,0.59,9.5,5
"907",7.74,0.27,2.6,0.084,78,0.9964,3.39,0.71,11,5
"908",6.66,0,2.2,0.079,9,0.9948,3.59,0.54,11.5,6
"909",7.92,0.13,2.4,0.078,61,0.9953,3.43,0.59,10.8,6
"910",7.6,0.39,1.2,0.059,11,0.9933,3.29,0.52,11.5,6
"913",10.46,0.44,2.9,0.065,8,0.9967,3.33,0.62,12.2,6
"915",7.6,0.39,1.2,0.059,11,0.9933,3.29,0.52,11.5,6
"916",8.91,0.4,2.2,0.079,6,0.9951,3.27,0.67,11.9,6
"919",8.76,0.32,2.2,0.081,79,0.9964,3.3,0.72,11,6
"920",9.02,0.12,1.8,0.072,46,0.995,3.38,0.89,11.8,6
"921",10.01,0.37,2.3,0.091,23,0.9979,3.24,0.56,10.5,5
"922",8.76,0.32,2.2,0.081,79,0.9964,3.3,0.72,11,6
"923",9.02,0.12,1.8,0.072,46,0.995,3.38,0.89,11.8,6
"925",9.07,0.27,2.3,0.055,28,0.9952,3.18,0.8,11.2,5
"926",8.82,0.36,1.9,0.064,77,0.996,3.47,0.87,11,7
"927",9.64,0.33,2.3,0.061,73,0.9979,3.47,0.9,10.2,6
"928",9.07,0.19,2.2,0.093,75,0.9974,3.2,0.59,9.2,4
"929",9.07,0.27,2.3,0.055,28,0.9952,3.18,0.8,11.2,5
"930",9.03,0.38,3.3,0.063,19,0.9947,3.3,0.73,12,7
"932",8.01,0.01,2,0.074,38,0.9975,3.48,0.65,9.8,5
"933",8,0.29,1.9,0.078,66,0.9971,3.45,0.59,9.5,6
"934",8.01,0.01,2,0.074,38,0.9975,3.48,0.65,9.8,5
"936",9.1,0.38,2.3,0.06,72,0.9954,3.39,0.72,11.8,6
"937",9.1,0.38,2.3,0.06,72,0.9954,3.39,0.72,11.8,6
"938",12.63,0.5,1.4,0.071,26,0.9979,3.07,0.6,10.4,4
"939",7.58,0.38,2.8,0.068,42,0.9936,3.34,0.72,12.9,7
"940",6.66,0.17,1.6,0.073,11,0.9942,3.61,0.54,11.4,5
"941",9.93,0.52,2.2,0.074,25,0.9951,3.36,0.76,12.4,7
"943",10.53,0.4,2.6,0.092,52,0.9983,3.22,0.64,10,7
"944",10.3,0.34,2.3,0.094,45,0.9986,3.24,0.6,9.7,7
"946",10.64,0.42,2,0.071,20,0.9957,3.14,0.79,11.1,7
"948",8.58,0.48,2.1,0.093,12,0.9941,3.26,0.62,12.4,7
"949",9.02,0.45,1.8,0.075,21,0.9955,3.41,0.76,11.9,7
"950",9.02,0.45,1.8,0.075,21,0.9955,3.41,0.76,11.9,7
"951",9.02,0.45,1.8,0.075,21,0.9955,3.41,0.76,11.9,7
"952",8.58,0.48,2.1,0.093,12,0.9941,3.26,0.62,12.4,7
"953",8.51,0.4,2.2,0.058,10,0.9954,3.31,0.68,11.2,7
"954",10.54,0.48,2.1,0.052,9,0.9946,3.2,0.69,12.1,7
"955",8.03,0.4,2.7,0.082,11,0.9954,3.44,0.54,12.2,6
"956",8.71,0.52,1.9,0.09,23,0.9965,3.36,0.67,10.4,5
"957",9.36,0.52,2.1,0.111,10,0.9957,3.31,0.62,11.3,6
"958",9.87,0.52,2,0.088,51,0.9961,3.29,0.58,11.1,6
"960",8.59,0.05,2,0.089,32,0.9974,3.36,0.61,10,5
"961",8.97,0.27,1.9,0.058,38,0.9952,3.16,0.85,11.1,6
"962",7.66,0.14,1.6,0.078,18,0.9959,3.27,0.62,9.3,5
"963",7.17,0.02,2.1,0.115,16,0.9965,3.38,0.69,9.5,5
"964",9.07,0.39,2,0.1,27,0.9955,3.15,0.69,11.2,6
"965",8.97,0.27,1.9,0.058,38,0.9952,3.16,0.85,11.1,6
"966",8.64,0.4,2.4,0.065,48,0.9955,3.34,0.86,11,6
"967",9.38,0.41,2.4,0.103,10,0.996,3.13,0.58,11.9,7
"968",9.16,0.2,2.1,0.097,113,0.9973,3.13,0.48,9.2,5
"969",9.4,0.43,2.4,0.068,46,0.9943,3.2,0.6,12.2,6
"970",7.26,0.09,2.9,0.079,22,0.9967,3.46,0.61,10.2,5
"971",10.66,0.48,1.9,0.066,10,0.9972,3.33,0.87,10.9,6
"972",10.66,0.48,1.9,0.066,10,0.9972,3.33,0.87,10.9,6
"973",10.48,0.5,2.4,0.104,13,0.9964,3.22,0.65,11.6,7
"974",8.84,0.44,1.7,0.079,12,0.996,3.52,0.63,10.7,5
"976",7.61,0.3,2.1,0.083,72,0.997,3.44,0.52,9.4,5
"977",7.61,0.3,2.1,0.083,72,0.997,3.44,0.52,9.4,5
"979",7.4,0.32,3.6,0.061,29,0.9942,3.28,0.49,11.3,7
"980",12.65,0.49,1.4,0.075,6,0.9969,3.13,0.63,10.4,5
"981",9.6,0.3,1.9,0.065,17,0.9977,3.32,0.71,10.5,6
"982",10.36,0.26,1.9,0.079,28,0.9971,3.25,0.62,10,5
"983",7.82,0.32,2.1,0.07,70,0.9942,3.34,0.82,12.9,6
"984",9.6,0.3,1.9,0.065,17,0.9977,3.32,0.71,10.5,6
"985",12.65,0.49,1.4,0.075,6,0.9969,3.13,0.63,10.4,5
"986",7.98,0,2,0.064,11,0.9956,3.45,0.58,11.3,6
"987",10.14,0.39,1.4,0.066,7,0.9947,3.19,0.55,11.4,7
"988",7.46,0.3,1.6,0.08,70,0.9969,3.44,0.5,9.4,5
"989",8.09,0.12,1.7,0.097,27,0.996,3.16,0.49,9.4,5
"990",9.99,0.4,1.5,0.073,21,0.9956,3.14,0.51,10.9,6
"991",8.09,0.12,1.7,0.097,27,0.996,3.16,0.49,9.4,5
